ClaimID,EmployeeID,EmployeeName,Role,Department,ClaimDate,ClaimTime,SubmissionDate,LateSubmission,Category,VendorID,VendorName,VendorType,Country,Currency,ExchangeRate,AmountLocal,AmountAUD,ReceiptID,SplitClaimFlag,NightTimeClaim,WeekendClaim,PolicyBreach,ApproverID,ApproverName,SelfApproval,PostedToAP,Approved,Notes,HighFreqVendor,DuplicateReceipt,SplitDetection,RiskScoreSimple
CLM000011,EMP041,Employee 41,Physio,Emergency,2024-12-07,18:52:55,2025-02-10,True,Meals,VEN0016,Vendor 16 - Hotel,Catering,AU,AUD,1.0,15.81,15.81,RCT300337,False,False,True,False,APR003,Approver 3,False,True,True,Conference attendance,False,False,False,2
CLM000012,EMP025,Employee 25,Doctor,Administration,2024-06-23,01:55:02,2024-06-23,False,Training,VEN0046,Vendor 46 - ConferenceOrganizer,LocalShop,AU,AUD,1.0,1354.1,1354.1,RCT421080,False,True,True,False,APR010,Approver 10,False,False,True,Urgent supply,False,False,False,2
CLM000013,EMP027,Employee 27,Physio,Outpatient,2024-09-29,15:36:11,2024-12-07,True,Uniforms,VEN0049,Vendor 49 - MedicalSupplier,TaxiCo,AU,AUD,1.0,47.47,47.47,RCT301939,False,False,True,False,APR006,Approver 6,False,True,True,Urgent supply,False,False,False,2
CLM000014,EMP023,Employee 23,Admin,Administration,2024-10-08,07:05:16,2024-10-08,False,Subscriptions,VEN0079,Vendor 79 - Catering,Catering,NZ,AUD,1.0,83.3,83.3,RCT205409,False,False,False,False,APR009,Approver 9,False,True,True,,False,False,False,0
CLM000015,EMP068,Employee 68,Physio,Administration,2024-01-22,00:21:58,2024-04-26,True,Medical Supplies,VEN0010,Vendor 10 - ConferenceOrganizer,UniformShop,AU,AUD,1.0,963.74,963.74,RCT889359,False,True,False,False,APR014,Approver 14,False,True,True,,False,False,False,2
CLM000016,EMP067,Employee 67,Nurse,Administration,2024-04-08,18:39:44,2024-04-08,False,Training,VEN0022,Vendor 22 - Hotel,UniformShop,IN,AUD,1.0,2466.41,2466.41,RCT705050,False,False,False,False,APR018,Approver 18,False,True,False,,False,False,False,0
CLM000017,EMP071,Employee 71,Physio,Radiology,2024-08-04,08:46:11,2024-11-14,True,Meals,VEN0090,Vendor 90 - ConferenceOrganizer,Hotel,AU,AUD,1.0,30.33,30.33,RCT647957,False,False,True,False,APR008,Approver 8,False,True,True,,False,False,False,2
CLM000018,EMP045,Employee 45,Lab Tech,Pharmacy,2024-08-24,21:47:04,2024-08-24,False,Subscriptions,VEN0001,Vendor 1 - LocalShop,UniformShop,US,AUD,1.0,15.71,15.71,RCT792509,False,False,True,False,APR004,Approver 4,False,True,True,Conference attendance,False,False,False,1
CLM000019,EMP065,Employee 65,Lab Tech,Outpatient,2024-04-23,03:55:18,2024-04-23,False,Uniforms,VEN0023,Vendor 23 - MedicalSupplier,SubscriptionService,AU,AUD,1.0,106.23,106.23,RCT576086,False,True,False,False,APR017,Approver 17,False,True,True,Training course approved,False,False,False,1
CLM000020,EMP023,Employee 23,Admin,Administration,2024-06-14,06:45:39,2024-09-01,True,Taxi,VEN0107,Vendor 107 - SubscriptionService,LocalShop,AU,USD,1.5,39.94,59.91,RCT174878,False,False,False,False,APR003,Approver 3,False,True,True,Conference attendance,False,False,False,1
CLM000021,EMP072,Employee 72,Pharmacist,Outpatient,2024-09-24,22:00:55,2024-11-03,True,Meals,VEN0114,Vendor 114 - UniformShop,Catering,AU,AUD,1.0,19.96,19.96,RCT617781,False,False,False,False,APR010,Approver 10,False,True,True,Training course approved,False,False,False,1
CLM000022,EMP068,Employee 68,Physio,Administration,2024-09-18,17:51:30,2024-09-18,False,Meals,VEN0019,Vendor 19 - MedicalSupplier,UniformShop,AU,AUD,1.0,105.63,105.63,RCT961322,False,False,False,True,APR016,Approver 16,False,True,False,Training course approved,False,False,False,2
CLM000023,EMP008,Employee 8,Pharmacist,Radiology,2024-08-15,23:32:15,2024-08-15,False,Meals,VEN0024,Vendor 24 - UniformShop,Hotel,CN,AUD,1.0,13.97,13.97,RCT464863,False,False,False,False,APR003,Approver 3,False,True,True,Missing PO noted,False,False,False,0
CLM000024,EMP074,Employee 74,Physio,Outpatient,2024-06-04,08:30:49,2024-06-05,False,Conference,VEN0035,Vendor 35 - Courier,UniformShop,AU,AUD,1.0,3672.76,3672.76,RCT221552,False,False,False,False,APR016,Approver 16,False,True,True,Conference attendance,False,False,False,0
CLM000025,EMP006,Employee 6,Technician,Emergency,2024-01-22,08:02:53,2024-01-22,False,Taxi,VEN0051,Vendor 51 - UniformShop,UniformShop,NZ,AUD,1.0,12.65,12.65,RCT563513,False,False,False,False,APR015,Approver 15,False,True,True,,False,False,False,0
CLM000026,EMP007,Employee 7,Nurse,Surgery,2024-01-12,04:01:15,2024-01-12,False,Meals,VEN0094,Vendor 94 - TaxiCo,Catering,AU,AUD,1.0,8.02,8.02,RCT205409,False,True,False,False,APR004,Approver 4,False,True,True,Training course approved,False,False,False,1
CLM000027,EMP009,Employee 9,Pharmacist,Surgery,2024-07-12,23:49:20,2024-08-12,True,Taxi,VEN0082,Vendor 82 - ConferenceOrganizer,Courier,AU,AUD,1.0,15.7,15.7,RCT595158,False,False,False,False,APR001,Approver 1,False,True,True,,False,False,False,1
CLM000028,EMP024,Employee 24,Physio,Outpatient,2024-04-17,21:55:11,2024-04-17,False,Medical Supplies,VEN0103,Vendor 103 - MedicalSupplier,LocalShop,US,AUD,1.0,619.18,619.18,RCT102689,False,False,False,False,APR008,Approver 8,False,True,True,Retrospective claim,False,False,False,0
CLM000029,EMP074,Employee 74,Physio,Outpatient,2024-07-07,14:57:16,2024-11-01,True,Medical Supplies,VEN0088,Vendor 88 - LocalShop,Courier,AU,AUD,1.0,308.9,308.9,RCT437408,False,False,True,False,APR007,Approver 7,False,True,True,Urgent supply,False,False,False,2
CLM000030,EMP056,Employee 56,Pharmacist,Emergency,2024-10-16,22:22:31,2024-12-06,True,Meals,VEN0046,Vendor 46 - ConferenceOrganizer,LocalShop,AU,AUD,1.0,6.52,6.52,RCT795928,False,False,False,False,APR009,Approver 9,False,True,False,Urgent supply,False,False,False,1
CLM000031,EMP031,Employee 31,Admin,Surgery,2024-12-03,21:50:54,2024-12-05,False,Courier,VEN0114,Vendor 114 - UniformShop,Catering,AU,AUD,1.0,27.03,27.03,RCT596564,False,False,False,False,APR016,Approver 16,False,True,False,Urgent supply,False,False,False,0
CLM000032,EMP043,Employee 43,Nurse,Surgery,2024-08-30,15:40:13,2024-08-30,False,Meals,VEN0103,Vendor 103 - MedicalSupplier,LocalShop,US,AUD,1.0,27.89,27.89,RCT659543,False,False,False,False,APR012,Approver 12,False,True,True,,False,False,False,0
CLM000033,EMP014,Employee 14,Physio,Surgery,2024-04-01,03:11:49,2024-04-01,False,Meals,VEN0009,Vendor 9 - Catering,UniformShop,AU,AUD,1.0,8.46,8.46,RCT194769,False,True,False,False,APR015,Approver 15,False,True,True,,False,False,False,1
CLM000034,EMP046,Employee 46,Lab Tech,Pharmacy,2024-01-18,08:28:36,2024-01-21,False,Accommodation,VEN0035,Vendor 35 - Courier,UniformShop,AU,AUD,1.0,167.11,167.11,RCT252640,False,False,False,False,APR006,Approver 6,False,True,True,Conference attendance,False,False,False,0
CLM000035,EMP039,Employee 39,Doctor,Administration,2024-08-28,00:53:15,2024-08-28,False,Taxi,VEN0060,Vendor 60 - LocalShop,MedicalSupplier,AU,AUD,1.0,75.11,75.11,RCT768891,False,True,False,False,EMP039,Employee 39,True,True,True,Training course approved,False,False,False,4
CLM000036,EMP049,Employee 49,Admin,Administration,2024-01-29,08:31:32,2024-02-10,False,Subscriptions,VEN0006,Vendor 6 - UniformShop,Hotel,AU,AUD,1.0,11.31,11.31,RCT544920,False,False,False,False,APR015,Approver 15,False,True,True,Conference attendance,False,False,False,0
CLM000037,EMP004,Employee 4,Nurse,Administration,2024-08-10,15:46:30,2024-08-10,False,Meals,VEN0058,Vendor 58 - TaxiCo,MedicalSupplier,IN,AUD,1.0,19.88,19.88,RCT970357,False,False,True,False,APR010,Approver 10,False,True,True,Retrospective claim,False,False,False,1
CLM000038,EMP073,Employee 73,Nurse,Emergency,2024-10-16,03:35:35,2024-10-16,False,Parking,VEN0099,Vendor 99 - SubscriptionService,UniformShop,AU,AUD,1.0,10.61,10.61,RCT341296,False,True,False,False,APR008,Approver 8,False,True,True,Missing PO noted,False,False,False,1
CLM000039,EMP029,Employee 29,Nurse,Pharmacy,2024-09-21,15:00:32,2024-09-21,False,Meals,VEN0080,Vendor 80 - Courier,LocalShop,AU,AUD,1.0,43.16,43.16,RCT423939,False,False,True,False,APR003,Approver 3,False,True,True,Conference attendance,False,False,False,1
CLM000040,EMP015,Employee 15,Technician,Outpatient,2024-03-09,12:23:40,2024-06-04,True,Training,VEN0116,Vendor 116 - UniformShop,MedicalSupplier,AU,INR,0.018,865.81,15.58,RCT626169,False,False,True,False,APR016,Approver 16,False,True,True,Missing PO noted,False,False,False,2
CLM000041,EMP037,Employee 37,Technician,Pharmacy,2024-12-04,13:01:11,2025-03-07,True,Parking,VEN0010,Vendor 10 - ConferenceOrganizer,UniformShop,AU,AUD,1.0,23.65,23.65,RCT890785,False,False,False,False,APR012,Approver 12,False,False,True,Urgent supply,False,False,False,1
CLM000042,EMP011,Employee 11,Technician,Surgery,2024-02-05,16:02:58,2024-02-05,False,Conference,VEN0077,Vendor 77 - ConferenceOrganizer,ConferenceOrganizer,AU,AUD,1.0,288.95,288.95,RCT805511,False,False,False,False,APR012,Approver 12,False,True,True,Conference attendance,False,False,False,0
CLM000043,EMP063,Employee 63,Admin,Pharmacy,2024-01-10,15:48:12,2024-04-04,True,Courier,VEN0088,Vendor 88 - LocalShop,Courier,AU,USD,1.5,12.69,19.04,RCT779112,False,False,False,False,APR001,Approver 1,False,True,True,,False,False,False,1
CLM000044,EMP023,Employee 23,Admin,Administration,2024-04-28,22:49:09,2024-06-22,True,Training,VEN0070,Vendor 70 - UniformShop,SubscriptionService,AU,AUD,1.0,2078.47,2078.47,RCT507524,False,False,True,False,APR008,Approver 8,False,True,True,Training course approved,False,False,False,2
CLM000045,EMP002,Employee 2,Lab Tech,Outpatient,2024-12-09,11:45:35,2024-12-09,False,Meals,VEN0074,Vendor 74 - ConferenceOrganizer,LocalShop,AU,AUD,1.0,17.27,17.27,RCT393328,False,False,False,False,APR002,Approver 2,False,True,True,Missing PO noted,False,False,False,0
CLM000046,EMP009,Employee 9,Pharmacist,Surgery,2024-05-22,11:37:59,2024-05-22,False,Courier,VEN0016,Vendor 16 - Hotel,Catering,AU,AUD,1.0,34.44,34.44,RCT389282,False,False,False,False,APR001,Approver 1,False,True,True,Retrospective claim,False,False,False,0
CLM000047,EMP011,Employee 11,Technician,Surgery,2024-01-09,08:54:26,2024-04-04,True,Accommodation,VEN0067,Vendor 67 - Courier,UniformShop,US,AUD,1.0,61.68,61.68,RCT692002,False,False,False,False,APR006,Approver 6,False,True,True,Training course approved,False,False,False,1
CLM000048,EMP046,Employee 46,Lab Tech,Pharmacy,2024-11-02,04:23:29,2025-01-21,True,Conference,VEN0006,Vendor 6 - UniformShop,Hotel,AU,AUD,1.0,598.49,598.49,RCT236306,False,True,True,False,APR007,Approver 7,False,True,True,Training course approved,False,False,False,3
CLM000049,EMP072,Employee 72,Pharmacist,Outpatient,2024-08-16,04:17:42,2024-10-25,True,Conference,VEN0081,Vendor 81 - TaxiCo,UniformShop,AU,AUD,1.0,1493.96,1493.96,RCT541409,False,True,False,False,APR013,Approver 13,False,True,True,Retrospective claim,False,False,False,2
CLM000050,EMP020,Employee 20,Admin,Emergency,2024-03-27,23:23:19,2024-05-15,True,Conference,VEN0085,Vendor 85 - Catering,TaxiCo,AU,AUD,1.0,1008.64,1008.64,RCT646781,False,False,False,False,APR008,Approver 8,False,True,True,,False,False,False,1
CLM000051,EMP048,Employee 48,Lab Tech,Radiology,2024-07-09,01:47:10,2024-08-23,True,Conference,VEN0002,Vendor 2 - ConferenceOrganizer,Catering,AU,AUD,1.0,3211.57,3211.57,RCT168872,False,True,False,False,APR004,Approver 4,False,True,True,Urgent supply,False,False,False,2
CLM000052,EMP048,Employee 48,Lab Tech,Radiology,2024-06-25,23:20:26,2024-09-29,True,Meals,VEN0092,Vendor 92 - Catering,SubscriptionService,AU,AUD,1.0,5.0,5.0,RCT994217,False,False,False,False,APR004,Approver 4,False,True,True,Conference attendance,False,False,False,1
CLM000053,EMP018,Employee 18,Technician,Emergency,2024-05-11,07:34:58,2024-05-11,False,Medical Supplies,VEN0062,Vendor 62 - Catering,UniformShop,AU,AUD,1.0,468.86,468.86,RCT427704,False,False,True,False,APR005,Approver 5,False,True,True,,False,False,False,1
CLM000054,EMP037,Employee 37,Technician,Pharmacy,2024-06-16,20:53:47,2024-07-19,True,Accommodation,VEN0025,Vendor 25 - MedicalSupplier,Courier,AU,AUD,1.0,196.34,196.34,RCT162894,False,False,True,False,APR013,Approver 13,False,True,True,Conference attendance,False,False,False,2
CLM000055,EMP037,Employee 37,Technician,Pharmacy,2024-12-03,05:04:41,2024-12-03,False,Subscriptions,VEN0058,Vendor 58 - TaxiCo,MedicalSupplier,IN,AUD,1.0,77.0,77.0,RCT705991,False,False,False,False,APR007,Approver 7,False,True,True,,False,False,False,0
CLM000056,EMP032,Employee 32,Admin,Surgery,2024-10-23,14:08:30,2024-12-05,True,Meals,VEN0045,Vendor 45 - ConferenceOrganizer,LocalShop,AU,AUD,1.0,29.86,29.86,RCT904711,True,False,False,False,APR015,Approver 15,False,True,True,Urgent supply,False,False,False,3
CLM000057,EMP070,Employee 70,Admin,Surgery,2024-01-12,12:25:54,2024-01-12,False,Uniforms,VEN0039,Vendor 39 - UniformShop,MedicalSupplier,AU,NZD,0.92,89.87,82.68,RCT106402,False,False,False,False,APR010,Approver 10,False,True,False,,False,False,False,0
CLM000058,EMP057,Employee 57,Technician,Radiology,2024-10-16,13:34:47,2024-10-16,False,Uniforms,VEN0052,Vendor 52 - ConferenceOrganizer,ConferenceOrganizer,AU,AUD,1.0,116.47,116.47,RCT488028,False,False,False,False,APR004,Approver 4,False,True,True,Retrospective claim,False,False,False,0
CLM000059,EMP036,Employee 36,Lab Tech,Surgery,2024-01-20,10:47:25,2024-01-20,False,Uniforms,VEN0009,Vendor 9 - Catering,UniformShop,AU,AUD,1.0,48.14,48.14,RCT563516,False,False,True,False,APR013,Approver 13,False,True,True,Retrospective claim,False,False,False,1
CLM000060,EMP006,Employee 6,Technician,Emergency,2024-07-07,18:55:51,2024-07-07,False,Meals,VEN0093,Vendor 93 - UniformShop,MedicalSupplier,AU,AUD,1.0,80.46,80.46,RCT728437,False,False,True,True,APR015,Approver 15,False,True,True,,False,False,False,3
CLM000061,EMP053,Employee 53,Physio,Emergency,2024-01-04,18:09:25,2024-02-05,True,Accommodation,VEN0077,Vendor 77 - ConferenceOrganizer,ConferenceOrganizer,AU,AUD,1.0,153.09,153.09,RCT837852,False,False,False,False,APR014,Approver 14,False,True,True,Conference attendance,False,False,False,1
CLM000062,EMP037,Employee 37,Technician,Pharmacy,2024-01-08,23:25:21,2024-02-26,True,Courier,VEN0025,Vendor 25 - MedicalSupplier,Courier,AU,AUD,1.0,27.29,27.29,RCT701253,False,False,False,False,APR011,Approver 11,False,False,True,Retrospective claim,False,False,False,1
CLM000063,EMP025,Employee 25,Doctor,Administration,2024-06-27,05:35:18,2024-06-27,False,Training,VEN0022,Vendor 22 - Hotel,UniformShop,IN,AUD,1.0,1526.78,1526.78,RCT717476,False,False,False,False,APR008,Approver 8,False,True,True,,False,False,False,0
CLM000064,EMP072,Employee 72,Pharmacist,Outpatient,2024-07-17,05:06:14,2024-10-09,True,Training,VEN0037,Vendor 37 - LocalShop,ConferenceOrganizer,AU,NZD,0.92,1137.2,1046.22,RCT468154,False,False,False,False,APR001,Approver 1,False,True,True,Retrospective claim,False,False,False,1
CLM000065,EMP064,Employee 64,Technician,Emergency,2024-02-29,08:42:56,2024-05-11,True,Conference,VEN0094,Vendor 94 - TaxiCo,Catering,AU,AUD,1.0,833.33,833.33,RCT586490,False,False,False,False,APR003,Approver 3,False,True,True,Retrospective claim,False,False,False,1
CLM000066,EMP058,Employee 58,Pharmacist,Outpatient,2024-05-05,11:21:18,2024-05-05,False,Medical Supplies,VEN0043,Vendor 43 - ConferenceOrganizer,Catering,AU,AUD,1.0,486.5,486.5,RCT762055,False,False,True,False,APR013,Approver 13,False,True,True,,False,False,False,1
CLM000067,EMP024,Employee 24,Physio,Outpatient,2024-05-23,15:20:07,2024-05-23,False,Conference,VEN0003,Vendor 3 - SubscriptionService,SubscriptionService,CN,AUD,1.0,2498.43,2498.43,RCT744883,False,False,False,False,APR006,Approver 6,False,True,True,Retrospective claim,False,False,False,0
CLM000068,EMP005,Employee 5,Pharmacist,Emergency,2024-09-10,10:25:07,2024-12-02,True,Medical Supplies,VEN0028,Vendor 28 - SubscriptionService,ConferenceOrganizer,AU,AUD,1.0,426.65,426.65,RCT164879,False,False,False,False,APR015,Approver 15,False,True,True,,False,False,False,1
CLM000069,EMP033,Employee 33,Admin,Administration,2024-04-06,21:04:36,2024-04-06,False,Subscriptions,VEN0091,Vendor 91 - ConferenceOrganizer,Courier,AU,AUD,1.0,5.0,5.0,RCT481574,False,False,True,False,APR011,Approver 11,False,True,True,Missing PO noted,False,False,False,1
CLM000070,EMP025,Employee 25,Doctor,Administration,2024-05-09,01:33:27,2024-06-30,True,Medical Supplies,VEN0074,Vendor 74 - ConferenceOrganizer,LocalShop,AU,AUD,1.0,657.97,657.97,RCT364236,False,True,False,False,APR005,Approver 5,False,True,True,Training course approved,False,False,False,2
CLM000071,EMP017,Employee 17,Admin,Emergency,2024-12-22,13:25:57,2025-04-09,True,Medical Supplies,VEN0115,Vendor 115 - LocalShop,MedicalSupplier,AU,AUD,1.0,1074.4,1074.4,RCT235215,False,False,True,False,APR012,Approver 12,False,True,True,Missing PO noted,False,False,False,2
CLM000072,EMP050,Employee 50,Technician,Radiology,2024-09-29,18:01:25,2024-09-29,False,Training,VEN0073,Vendor 73 - Courier,TaxiCo,AU,AUD,1.0,180.47,180.47,RCT119116,False,False,True,False,APR012,Approver 12,False,True,True,Training course approved,False,False,False,1
CLM000073,EMP033,Employee 33,Admin,Administration,2024-03-01,07:00:11,2024-06-06,True,Medical Supplies,VEN0035,Vendor 35 - Courier,UniformShop,AU,AUD,1.0,463.17,463.17,RCT665990,False,False,False,False,APR012,Approver 12,False,True,True,Conference attendance,False,False,False,1
CLM000074,EMP050,Employee 50,Technician,Radiology,2024-02-29,03:38:49,2024-02-29,False,Uniforms,VEN0113,Vendor 113 - SubscriptionService,ConferenceOrganizer,AU,AUD,1.0,6.36,6.36,RCT273580,False,True,False,False,APR007,Approver 7,False,False,True,Missing PO noted,False,False,False,1
CLM000075,EMP074,Employee 74,Physio,Outpatient,2024-10-31,01:53:36,2024-12-26,True,Uniforms,VEN0024,Vendor 24 - UniformShop,Hotel,CN,NZD,0.92,82.43,75.84,RCT975679,False,True,False,False,APR001,Approver 1,False,True,True,Retrospective claim,False,False,False,2
CLM000076,EMP002,Employee 2,Lab Tech,Outpatient,2024-07-23,11:31:27,2024-07-23,False,Subscriptions,VEN0081,Vendor 81 - TaxiCo,UniformShop,AU,AUD,1.0,57.75,57.75,RCT245121,False,False,False,False,APR018,Approver 18,False,True,True,Retrospective claim,False,False,False,0
CLM000077,EMP002,Employee 2,Lab Tech,Outpatient,2024-11-26,17:58:54,2024-12-04,False,Medical Supplies,VEN0013,Vendor 13 - UniformShop,Courier,AU,AUD,1.0,159.51,159.51,RCT638289,False,False,False,False,APR012,Approver 12,False,True,True,,False,False,False,0
CLM000078,EMP038,Employee 38,Lab Tech,Administration,2024-06-10,05:03:30,2024-06-10,False,Medical Supplies,VEN0008,Vendor 8 - UniformShop,Hotel,AU,AUD,1.0,534.78,534.78,RCT185569,False,False,False,False,APR016,Approver 16,False,True,True,Training course approved,False,False,False,0
CLM000079,EMP028,Employee 28,Physio,Surgery,2024-01-15,07:27:22,2024-01-25,False,Courier,VEN0099,Vendor 99 - SubscriptionService,UniformShop,AU,AUD,1.0,43.14,43.14,RCT895702,False,False,False,False,EMP028,Employee 28,True,True,True,Retrospective claim,False,False,False,3
CLM000080,EMP008,Employee 8,Pharmacist,Radiology,2024-12-31,01:42:34,2024-12-31,False,Taxi,VEN0022,Vendor 22 - Hotel,UniformShop,IN,AUD,1.0,14.01,14.01,RCT415779,False,True,False,False,APR015,Approver 15,False,True,True,Conference attendance,False,False,False,1
CLM000081,EMP041,Employee 41,Physio,Emergency,2024-08-19,13:31:40,2024-08-19,False,Conference,VEN0111,Vendor 111 - ConferenceOrganizer,LocalShop,US,AUD,1.0,1491.31,1491.31,RCT250551,False,False,False,False,APR016,Approver 16,False,True,True,Retrospective claim,False,False,False,0
CLM000082,EMP024,Employee 24,Physio,Outpatient,2024-05-20,03:32:04,2024-05-20,False,Subscriptions,VEN0041,Vendor 41 - Hotel,TaxiCo,AU,AUD,1.0,55.51,55.51,RCT632280,False,True,False,False,APR016,Approver 16,False,False,True,,False,False,False,1
CLM000083,EMP073,Employee 73,Nurse,Emergency,2024-05-18,18:48:57,2024-07-29,True,Medical Supplies,VEN0102,Vendor 102 - TaxiCo,UniformShop,US,AUD,1.0,275.2,275.2,RCT908977,False,False,True,False,APR002,Approver 2,False,True,True,Missing PO noted,False,False,False,2
CLM000084,EMP059,Employee 59,Physio,Emergency,2024-06-29,04:01:19,2024-06-29,False,Meals,VEN0107,Vendor 107 - SubscriptionService,LocalShop,AU,AUD,1.0,37.71,37.71,RCT913894,False,True,True,False,APR006,Approver 6,False,True,True,Urgent supply,False,False,False,2
CLM000085,EMP057,Employee 57,Technician,Radiology,2024-07-19,18:13:19,2024-07-19,False,Subscriptions,VEN0034,Vendor 34 - TaxiCo,UniformShop,AU,AUD,1.0,35.38,35.38,RCT889882,False,False,False,False,APR001,Approver 1,False,True,True,Urgent supply,False,False,False,0
CLM000086,EMP075,Employee 75,Nurse,Surgery,2024-06-18,07:14:46,2024-07-08,False,Accommodation,VEN0072,Vendor 72 - UniformShop,UniformShop,AU,AUD,1.0,224.22,224.22,RCT295892,False,False,False,False,APR015,Approver 15,False,True,True,,False,False,False,0
CLM000087,EMP013,Employee 13,Physio,Emergency,2024-06-16,03:29:02,2024-08-08,True,Subscriptions,VEN0002,Vendor 2 - ConferenceOrganizer,Catering,AU,AUD,1.0,8.63,8.63,RCT207581,False,True,True,False,APR002,Approver 2,False,True,True,Urgent supply,False,False,False,3
CLM000088,EMP029,Employee 29,Nurse,Pharmacy,2024-06-22,17:05:32,2024-10-17,True,Meals,VEN0078,Vendor 78 - Hotel,Courier,AU,AUD,1.0,7.24,7.24,RCT556068,False,False,True,False,APR013,Approver 13,False,True,True,Missing PO noted,False,False,False,2
CLM000089,EMP045,Employee 45,Lab Tech,Pharmacy,2024-09-20,02:23:26,2024-09-20,False,Subscriptions,VEN0118,Vendor 118 - Catering,Courier,AU,AUD,1.0,68.74,68.74,RCT919264,False,True,False,False,APR012,Approver 12,False,True,False,,False,False,False,1
CLM000090,EMP035,Employee 35,Lab Tech,Surgery,2024-08-22,05:28:44,2024-08-22,False,Meals,VEN0081,Vendor 81 - TaxiCo,UniformShop,AU,AUD,1.0,56.98,56.98,RCT900152,False,False,False,False,APR011,Approver 11,False,True,False,,False,False,False,0
CLM000091,EMP003,Employee 3,Doctor,Surgery,2024-10-12,23:45:37,2024-12-12,True,Taxi,VEN0111,Vendor 111 - ConferenceOrganizer,LocalShop,US,AUD,1.0,40.43,40.43,RCT374492,False,False,True,False,APR003,Approver 3,False,True,False,Training course approved,False,False,False,2
CLM000092,EMP017,Employee 17,Admin,Emergency,2024-02-17,20:00:19,2024-06-10,True,Parking,VEN0104,Vendor 104 - SubscriptionService,UniformShop,AU,NZD,0.92,13.92,12.81,RCT192055,False,False,True,False,APR017,Approver 17,False,True,True,Urgent supply,False,False,False,2
CLM000093,EMP040,Employee 40,Physio,Emergency,2024-12-12,14:44:03,2025-01-03,False,Parking,VEN0072,Vendor 72 - UniformShop,UniformShop,AU,INR,0.018,5.0,0.09,RCT282547,False,False,False,False,APR014,Approver 14,False,True,True,,False,False,False,0
